time,temperature_K
1.206412825651302683e+02,2.879999541851848903e+02
1.210420841683366717e+02,2.879999540329763477e+02
1.214428857715430894e+02,2.879999538807677482e+02
1.218436873747495071e+02,2.879999537285592055e+02
1.222444889779559105e+02,2.879999535763506628e+02
1.226452905811623282e+02,2.879999534241420633e+02
1.230460921843687458e+02,2.879999532719335207e+02
1.234468937875751493e+02,2.879999531197249780e+02
1.238476953907815670e+02,2.879999529675164354e+02
1.242484969939879846e+02,2.879999528153078359e+02
1.246492985971943881e+02,2.879999526630992932e+02
1.250501002004008058e+02,2.879999525108907505e+02
1.254509018036072234e+02,2.879999523586822079e+02
1.258517034068136269e+02,2.879999522064736652e+02
1.262525050100200446e+02,2.879999520542650657e+02
1.266533066132264622e+02,2.879999519020565231e+02
1.270541082164328657e+02,2.879999517498479804e+02
1.274549098196392833e+02,2.879999515976394378e+02
1.278557114228457010e+02,2.879999514454308951e+02
1.282565130260521187e+02,2.879999512932223524e+02
1.286573146292585079e+02,2.879999511410138098e+02
1.290581162324649256e+02,2.879999509888052671e+02
1.294589178356713433e+02,2.879999508365967245e+02
1.298597194388777609e+02,2.879999506843881818e+02
1.302605210420841786e+02,2.879999505321796391e+02
1.306613226452905963e+02,2.879999503799710965e+02
1.310621242484969855e+02,2.879999502277625538e+02
1.314629258517034032e+02,2.879999500755540112e+02
1.318637274549098208e+02,2.879999499233454685e+02
1.322645290581162385e+02,2.879999497711369258e+02
1.326653306613226562e+02,2.879999496189283832e+02
1.330661322645290738e+02,2.879999494667198405e+02
1.334669338677354631e+02,2.879999493145112979e+02
1.338677354709418807e+02,2.879999491623027552e+02
1.342685370741482984e+02,2.879999490100942126e+02
1.346693386773547161e+02,2.879999488578856699e+02
1.350701402805611337e+02,2.879999487056771272e+02
1.354709418837675514e+02,2.879999485534686414e+02
1.358717434869739407e+02,2.879999484012600988e+02
1.362725450901803583e+02,2.879999482490515561e+02
1.366733466933867760e+02,2.879999480968430134e+02
1.370741482965931937e+02,2.879999479446344708e+02
1.374749498997996113e+02,2.879999477924259850e+02
1.378757515030060290e+02,2.879999476402174423e+02
1.382765531062124182e+02,2.879999474880088997e+02
1.386773547094188359e+02,2.879999473358003570e+02
1.390781563126252536e+02,2.879999471835918712e+02
1.394789579158316712e+02,2.879999470313833285e+02
1.398797595190380889e+02,2.879999468791747859e+02
1.402805611222445066e+02,2.879999467269663000e+02
1.406813627254508958e+02,2.879999465747577574e+02
1.410821643286573135e+02,2.879999464225492147e+02
1.414829659318637312e+02,2.879999462703407289e+02
1.418837675350701488e+02,2.879999461181321863e+02
1.422845691382765665e+02,2.879999459659237004e+02
1.426853707414829842e+02,2.879999458137151578e+02
1.430861723446893734e+02,2.879999456615066151e+02
